epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,15514.4,0.52504,0.12607,0,0.37553,0.90283,0.99937,1,0.995,0.91187,0.99937,1,0.995,0.995,0.49302,0.04276,0,0.32929,0.86306,0.0005942,0.0005942,0.0005942
73,15728.1,0.50082,0.12541,0,0.35246,0.88136,0.99937,1,0.995,0.90706,0.99937,1,0.995,0.995,0.51207,0.04389,0,0.33717,0.8701,0.0005744,0.0005744,0.0005744
74,15942.3,0.51178,0.11487,0,0.36893,0.87083,0.99936,1,0.995,0.89789,0.99936,1,0.995,0.995,0.52897,0.05375,0,0.33148,0.86775,0.0005546,0.0005546,0.0005546
75,16150.2,0.51928,0.1508,0,0.36745,0.88459,0.99936,1,0.995,0.90285,0.99936,1,0.995,0.995,0.49416,0.04819,0,0.33016,0.85481,0.0005348,0.0005348,0.0005348
76,16363,0.54207,0.11895,0,0.37564,0.90981,0.9994,1,0.995,0.9108,0.9994,1,0.995,0.995,0.48467,0.05219,0,0.33645,0.85242,0.000515,0.000515,0.000515
77,16575.5,0.55352,0.10616,0,0.38296,0.91364,0.99941,1,0.995,0.91127,0.99941,1,0.995,0.995,0.48662,0.04443,0,0.32741,0.84859,0.0004952,0.0004952,0.0004952
78,16793.2,0.50753,0.10887,0,0.35372,0.88358,0.99937,1,0.995,0.90303,0.99937,1,0.995,0.995,0.50484,0.04735,0,0.32216,0.85061,0.0004754,0.0004754,0.0004754
79,17005.6,0.52623,0.13393,0,0.36212,0.9,0.99936,1,0.995,0.90785,0.99936,1,0.995,0.995,0.48366,0.04358,0,0.33157,0.84631,0.0004556,0.0004556,0.0004556
80,17232.3,0.49292,0.11106,0,0.35557,0.8876,0.99936,1,0.995,0.9073,0.99936,1,0.995,0.995,0.47638,0.03537,0,0.32138,0.84668,0.0004358,0.0004358,0.0004358
81,17447.1,0.47221,0.08669,0,0.33749,0.88625,0.99937,1,0.995,0.90967,0.99937,1,0.995,0.995,0.47118,0.03461,0,0.31579,0.84486,0.000416,0.000416,0.000416
82,17658.8,0.45722,0.1075,0,0.32,0.87226,0.99939,1,0.995,0.92129,0.99939,1,0.995,0.995,0.45952,0.03711,0,0.31353,0.84103,0.0003962,0.0003962,0.0003962
83,17873.5,0.51663,0.24122,0,0.36932,0.89691,0.99938,1,0.995,0.92252,0.99938,1,0.995,0.995,0.47088,0.03811,0,0.31748,0.84102,0.0003764,0.0003764,0.0003764
84,18088.4,0.49204,0.09323,0,0.34975,0.89879,0.99935,1,0.995,0.91274,0.99935,1,0.995,0.995,0.47385,0.03833,0,0.31016,0.83609,0.0003566,0.0003566,0.0003566
85,18305.1,0.46098,0.09191,0,0.33271,0.88271,0.99937,1,0.995,0.91884,0.99937,1,0.995,0.995,0.45639,0.0333,0,0.30311,0.83353,0.0003368,0.0003368,0.0003368
86,18520.5,0.50052,0.09678,0,0.35417,0.8957,0.99936,1,0.995,0.9197,0.99936,1,0.995,0.995,0.45461,0.03359,0,0.30936,0.83339,0.000317,0.000317,0.000317
87,18733.9,0.47631,0.07796,0,0.33999,0.88217,0.99936,1,0.995,0.90997,0.99936,1,0.995,0.995,0.48275,0.03524,0,0.31965,0.84093,0.0002972,0.0002972,0.0002972
88,18945.3,0.5243,0.07941,0,0.41388,0.89476,0.99934,1,0.995,0.91104,0.99934,1,0.995,0.995,0.46808,0.03634,0,0.30578,0.84181,0.0002774,0.0002774,0.0002774
89,19155.1,0.45917,0.09176,0,0.34526,0.88163,0.99936,1,0.995,0.91557,0.99936,1,0.995,0.995,0.4596,0.03541,0,0.30083,0.84041,0.0002576,0.0002576,0.0002576
90,19366.3,0.46853,0.07489,0,0.35138,0.89255,0.99937,1,0.995,0.91379,0.99937,1,0.995,0.995,0.46449,0.03273,0,0.29714,0.84273,0.0002378,0.0002378,0.0002378
91,19583.3,0.36979,0.04752,0,0.27375,0.7961,0.99937,1,0.995,0.92208,0.99937,1,0.995,0.995,0.46104,0.03095,0,0.29439,0.84421,0.000218,0.000218,0.000218
92,19796.4,0.37243,0.03635,0,0.26864,0.81666,0.99921,1,0.995,0.9245,0.99921,1,0.995,0.995,0.45774,0.03088,0,0.29773,0.84366,0.0001982,0.0001982,0.0001982
93,20009.5,0.34728,0.03734,0,0.26013,0.8069,0.99906,1,0.995,0.9178,0.99906,1,0.995,0.995,0.46409,0.0309,0,0.30191,0.847,0.0001784,0.0001784,0.0001784
94,20219.6,0.3575,0.03105,0,0.26017,0.80717,0.99928,1,0.995,0.91823,0.99928,1,0.995,0.995,0.45745,0.03094,0,0.29481,0.84631,0.0001586,0.0001586,0.0001586
95,20431.7,0.36291,0.0342,0,0.2638,0.80938,0.99939,1,0.995,0.9256,0.99939,1,0.995,0.995,0.45156,0.03106,0,0.292,0.84452,0.0001388,0.0001388,0.0001388
96,20640.1,0.35337,0.0319,0,0.257,0.81326,0.99942,1,0.995,0.92561,0.99942,1,0.995,0.995,0.45421,0.03108,0,0.28649,0.84388,0.000119,0.000119,0.000119
97,20853.3,0.34388,0.03526,0,0.25415,0.80517,0.99943,1,0.995,0.92169,0.99943,1,0.995,0.995,0.45357,0.02977,0,0.28409,0.84363,9.92e-05,9.92e-05,9.92e-05
98,21072.8,0.33168,0.02937,0,0.2556,0.80101,0.99943,1,0.995,0.91955,0.99943,1,0.995,0.995,0.44653,0.02799,0,0.27506,0.84093,7.94e-05,7.94e-05,7.94e-05
99,21286.1,0.34762,0.03149,0,0.24381,0.80065,0.99944,1,0.995,0.91904,0.99944,1,0.995,0.995,0.4451,0.02744,0,0.27209,0.83984,5.96e-05,5.96e-05,5.96e-05
100,21500,0.33449,0.03276,0,0.25555,0.80867,0.99943,1,0.995,0.92262,0.99943,1,0.995,0.995,0.44582,0.02753,0,0.27429,0.83953,3.98e-05,3.98e-05,3.98e-05
